"","Date","max"
"1","10/1/21",328.07
"2","10/11/21",317.17
"3","10/12/21",350.66
"4","10/13/21",287.93
"5","10/14/21",307.82
"6","10/15/21",248.92
"7","10/16/21",293.35
"8","10/17/21",299.26
"9","10/18/21",187.2
"10","10/19/21",264.36
"11","10/2/21",410.48
"12","10/21/21",289.59
"13","10/22/21",251.9
"14","10/23/21",113.93
"15","10/24/21",258.49
"16","10/25/21",192.57
"17","10/26/21",195
"18","10/27/21",282.47
"19","10/28/21",243.57
"20","10/29/21",185.89
"21","10/3/21",336.08
"22","10/4/21",379.86
"23","10/5/21",380.11
"24","10/6/21",345.05
"25","10/7/21",297.6
"26","10/8/21",341.63
"27","10/9/21",433.86
"28","11/1/21",222.33
"29","11/10/21",168.66
"30","11/11/21",189.34
"31","11/12/21",167.55
"32","11/2/21",219.47
"33","11/3/21",222.36
"34","11/4/21",262.16
"35","11/5/21",252.71
"36","11/6/21",261.52
"37","11/7/21",234.01
"38","11/8/21",259.43
"39","11/9/21",266.91
"40","2/10/22",224.66
"41","2/11/22",136.13
"42","2/12/22",203.42
"43","2/13/22",116.36
"44","2/14/22",287.76
"45","2/15/22",253.23
"46","2/16/22",248.69
"47","2/17/22",149
"48","2/18/22",200.26
"49","2/19/22",283.58
"50","2/20/22",126.13
"51","2/21/22",200.28
"52","2/22/22",173.36
"53","2/23/22",204.98
"54","2/24/22",326.5
"55","2/25/22",295.8
"56","2/26/22",280.52
"57","2/27/22",302.31
"58","2/28/22",276.74
"59","2/9/22",146.56
"60","3/1/22",253.85
"61","3/10/22",357.93
"62","3/11/22",267.72
"63","3/12/22",378.91
"64","3/13/22",360.99
"65","3/14/22",442.33
"66","3/15/22",419.26
"67","3/16/22",495.76
"68","3/17/22",478.98
"69","3/18/22",484.83
"70","3/19/22",408.19
"71","3/2/22",204.75
"72","3/20/22",590.67
"73","3/21/22",583.52
"74","3/22/22",656.47
"75","3/23/22",938.92
"76","3/24/22",926.67
"77","3/25/22",554.25
"78","3/26/22",632.72
"79","3/27/22",774.72
"80","3/28/22",935.04
"81","3/29/22",716.65
"82","3/3/22",325.67
"83","3/30/22",869.41
"84","3/31/22",804.19
"85","3/4/22",325.83
"86","3/5/22",311.39
"87","3/6/22",232.04
"88","3/7/22",409.32
"89","3/8/22",413.49
"90","3/9/22",375.22
"91","4/1/22",739.5
"92","4/10/22",726.49
"93","4/11/22",763.32
"94","4/12/22",706.07
"95","4/13/22",682.88
"96","4/14/22",747.61
"97","4/15/22",472.17
"98","4/16/22",511.3
"99","4/17/22",521.13
"100","4/18/22",887.59
"101","4/19/22",1037.5
"102","4/2/22",790.14
"103","4/20/22",845.94
"104","4/21/22",697.09
"105","4/22/22",729.27
"106","4/23/22",774.95
"107","4/24/22",674.79
"108","4/25/22",696.44
"109","4/26/22",570.92
"110","4/27/22",687.04
"111","4/28/22",1053.5
"112","4/29/22",730.86
"113","4/3/22",904.49
"114","4/30/22",892.88
"115","4/4/22",803.25
"116","4/5/22",532.04
"117","4/6/22",857.02
"118","4/7/22",873.08
"119","4/8/22",604.08
"120","4/9/22",781.48
"121","5/1/22",966.56
"122","5/10/22",921.77
"123","5/11/22",864.97
"124","5/12/22",898.33
"125","5/13/22",891.61
"126","5/14/22",889.64
"127","5/15/22",647.06
"128","5/16/22",546.76
"129","5/17/22",918.28
"130","5/18/22",164.61
"131","5/19/22",784.88
"132","5/2/22",794
"133","5/20/22",954.97
"134","5/21/22",906.95
"135","5/22/22",968.1
"136","5/23/22",907.57
"137","5/24/22",899.82
"138","5/25/22",932.23
"139","5/26/22",996.21
"140","5/27/22",1056.5
"141","5/28/22",623.18
"142","5/29/22",589.74
"143","5/3/22",944.26
"144","5/30/22",545.26
"145","5/31/22",647.84
"146","5/4/22",1010.7
"147","5/5/22",571.27
"148","5/6/22",620.3
"149","5/7/22",943.84
"150","5/8/22",935.13
"151","5/9/22",876.67
"152","6/1/22",739.04
"153","6/10/22",475.88
"154","6/11/22",469.5
"155","6/12/22",577.64
"156","6/13/22",650.42
"157","6/14/22",626.65
"158","6/15/22",642.21
"159","6/2/22",909.15
"160","6/3/22",676.33
"161","6/4/22",590.09
"162","6/5/22",668.9
"163","6/6/22",652.24
"164","6/7/22",776.23
"165","6/8/22",426.48
"166","6/9/22",484.49
"167","9/20/21",417.23
"168","9/21/21",528.58
"169","9/22/21",458.86
"170","9/23/21",497.48
"171","9/24/21",479.31
"172","9/25/21",437.61
"173","9/26/21",440.46
"174","9/27/21",337.15
"175","9/28/21",424.71
"176","9/29/21",453.65
"177","9/30/21",405.46
